message_id,date,text
1180,2024-10-06T15:03:40+00:00,ተጀምሯል !!
1175,2024-10-04T13:14:16+00:00,"🤱በድህረ ወሊድ ጊዜ ምን ማወቅ አለብዎት??

🌸ቀደምት የድህረ ወሊድ ጊዜ በሴቶች ህይወት ውስጥ ከወሊድ በኋላ በአካል፣ በስሜታዊ እና በስነ ልቦና ለውጦች የሚታወቅ ወሳኝ ምዕራፍ ነው።

💁‍♀ተከታይ አካላዊ ለውጦችን በጥቂቱ:-
   💫 የማሕፀን መኮማተር 
   💫  ደም መፍሰስ እና ሎቺያ  
    💫የድህረ ወሊድ ህመም እና ምቾት ማጣት

🧑‍🔬የሕክምና እርዳታ መቼ ያስፈልጋል?

🌸የአእምሮ ጤናዎን እንዴት ይንከባከቡ?

🌸አዲስ የተወለደ ልጅን ለመንከባከብ  ጤናማ መመርያዎች ምንድናቸው?

🙎‍♀የድህረ ወሊድ እንክብካቤ እና ምርመራ ምን ይመስላል?

💫እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾እዚህ ይጫኑ።

💫የቴሌግራም ቻናላችንን ለመቀላቀል 👉🏾 እዚህ ይጫኑ።"
1171,2024-10-03T05:09:38+00:00,"💡በዚህ እሁድ በቴሌግራም ቀጥታ ስርጭት የእንቅልፍ ችግሮች የሚዳስስ ውይይት ይዘን ቀርበናል።

🛌የእንቅልፍ ችግሮች በተለያዩ ምክንያቶች ሊመጡ ይችላሉ ከእነዚህም መካከል: 
👉 ሥር የሰደደ ሕመም
👉 የአእምሮ ጤና ጉዳዮች 
👉 መደበኛ ያልሆነ የእንቅልፍ መርሃ ግብር
👉 አካባቢያዊ ምክንያቶች 
👉 ከእድሜ ጋር የተገናኙ ለውጦች 
👉 መድሃኒቶች እንዲሁም ሌሎችን ያካትታል

🗣እንግዳችን:
👉 ያፌት ከፈለኝ (በአብርሆት የስነዓዕምሮ ህክምና ተቋም የስነ አዕምሮ አማካሪ )

🗓እሁድ መስከረም 26 2017

⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ)

⚡️ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇
https://t.me/yetenaweg?livestream

⚡️የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh"
1169,2024-10-02T07:04:03+00:00,"⭐️ቲቢ(ቱበርኩሎሲስ) ምንድን ነው?

💫ሳንባ ነቀርሳ (ቲቢ)በባክቴሪያ የሚከሰት ተላላፊ በሽታ ሲሆን ብዙውን ጊዜ ሳንባን ያጠቃል::

⭐️የቲቢ ምልክቶች  በጥቂቱ የሚከተሉትን ያካትታሉ:
• ረዘም ላለ ጊዜ ሳል (አንዳንድ ጊዜ ደም የቀላቀለ አክታ)
• የደረት ህመም
• ድካም
• ክብደት መቀነስ
• ትኩሳት
• የምሽት ላብ እና
• የምግብ ፍላጎት መቀነስ፡

⭐️ለበሽታው ተጋላጭ የሚያደርጉ ሁኔታዎች ምንድናቸው?

💊ህክምናው ምን ይመስላል?

⭐️የበሽታው መከላከያ መንገዶች ምን ምን ናቸው?

🌟እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾እዚህ ይጫኑ።

🌟የቴሌግራም ቻናላችንን ለመቀላቀል 👉🏾 እዚህ ይጫኑ።"
1164,2024-09-25T06:38:28+00:00,"💥 ጉርምስና💥

💥ጉርምስና ማለት በአስራዎቹ  የእድሜ ክልል መጀመሪያ ውስጥ የሚገኙ ልጆች የሚያሳዩት አካላዊና ስነ ልቦናዊ ለውጥ ነው ። 
💥ይህ ጊዜ ልጆች ወደ ወጣትነት ለማደግ የሚንደረደሩበት ብዙ የባህሪ ለውጦችን የሚያስተናግዱበት ወቅት ነው። 

👉በጉርምስና ጊዜ የ ሚታዩ ለውጦች ምን ምን ናቸው? 
👉የልጆችና የወላጆች ግንኙነት ምን ይመስላል ? 
👉 ወላጆች ለዚህ ለውጥ ምን አይነት ምላሽ መስጠት አለባቸው?

🔸 ለበለጠ መረጃ: እዚህ ይጫኑ"
1161,2024-09-23T08:09:38+00:00,"ዓለም አቀፍ የምልክት ቋንቋ ቀን መስከረም 13 ቀን በመላው ዓለም ተከብሮ ይውላል።

በዚህ ቀን መስማት የተሳናቸው ወገኖችዎን መደገፍ፣ ለሰብአዊ መብቶቻቸው መሟገት እና ለምልክት ቋንቋ ድጋፍዎን ማሳየት አይርሱ።

የጤና ወግ ይህንን ቀን እነዚህን በሕክምና ላይ የሚዘወተሩ የምልክት ቋንቋዎች በመለማመድ እንዲያከብሩ ይጋብዝዎታል።"
1160,2024-09-11T07:46:56+00:00,እንኳን ለአዲሱ ዓመት በሰላም አደረሳችሁ።
1158,2024-09-04T19:09:46+00:00,"#ጳጉሜን_ለበጎ 

🩸ደም እንለግስ🩸፣ 
🫀ሕይወትን እንታደግ!

📅የጤና ወግ አመታዊ የደም ልገሳ ፕሮግራም ጳጉሜ 3 እና 4፣ ከብሔራዊ የደም ባንክ አገልግሎት ጋር በመተባበር
🩸እያንዳንዱ ጠብታ ዋጋ አለው፣ የእርስዎ ልገሳ ህይወትን ሊያድን ይችላል።🩸

🏫 📋✏️📚✒️ ደም መለገስ ባይችሉ ለስለእናት የበጎ አድራጎት ድርጅት ልጆች የትምህርት ቁሳቁሶችን  በመለገስ አስተዋፅኦ ያድርጉ።🙌🏾 

📍አድራሻ: ብሔራዊ የደም ባንክ ዋና መስሪያ ቤት ጤና ጥበቃ ሚኒስቴር ግቢ አጠገብ  🗺"
1157,2024-08-26T17:29:14+00:00,"📍ቲንያ (ቆረቆር ፣ ጭርት ፣ ጥፍረ መጥምጥ )

▫️ቲንያ የፈንገስ  ኢንፌክሽን  አይነት ሲሆን በዋናነት ቆዳን ፣ ፀጉርን እና ጥፍርን ያጠቃል::

🔻ለበሽታው ተጋላጭ የሚያደርጉ ሁኔታዎች ምንድናቸው?

👉🏽 ይህ የቆዳ በሽታ ማንኛውንም ሰው ሊያጠቃ ይችላል ። ነገር ግን በይበልጥ በሽታን የመከላከል አቅም የሚያደክሙ ህመሞች ያለባቸው ሰዎችን በይበልጥ ሊጎዳ ይችላል ።
ከዚህ በተጨማሪ 
👉🏽 ዝቅተኛ የኑሮ ህኔታ ፣ እድሜ ፣ 
👉🏽 የተፋፈገ እና ሰው የበዛበት የኑሮ ሁኔታ ፣ የግል ንህጽናን ያለመጠበቅ      
👉🏽 የሰውነት በሽታ የመከላከል 
አቅም የሚቀንሱ መድሃኒቶችን መጠቀም

🔺የቲኒያ ፈንገስ አይነቶች በጥቂቱ

▫️ ቲንያ ካፒተስ(ቆረቆር):-በፀጉር ላይ የሚከሰት
 ▫️ቲንያ ኮርፖሪስ(ጭርት):-በሰውነት ቆዳ ላይ የሚከሰት
▫️ቲንያ ፔዲስ :- በእግር ላይ የሚከሰት
▫️ቲንያ ፋሼ :- የፊት ቆዳን የሚያጠቃ  
▫️ቲንያ አንጉየም – ጥፍረ መጥምጥ 
▫️ቲንያ ክሩሪስ :-ይህም በጭን እና በብልት አካባቢ የሚገኝ

🔻የቲንያ ምርመራ እና ህክምና ምን ይመስላል?

🔺የበሽታው መተላለፊያና መከላከያ መንገዶች ምንድናቸው?

♦️እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾እዚህ ይጫኑ።

♦️የቴሌግራም ቻናላችንን ለመቀላቀል 👉🏾 እዚህ ይጫኑ።"
1156,2024-08-21T21:45:26+00:00,https://t.me/boost/yetenaweg
1151,2024-08-21T10:20:09+00:00,"💥 ቅድመ እርግዝና ክትትል ማለት አንዲት ሴት ከማርገዟ በፊት ስለ አጠቃላይ የእርግዝናው ሒደትና ሊከሰቱ ስለሚችሉ ሁናቴዎች በጥልቀት የምትረዳበት ጊዜ ነው።

👉ይህ ሂደት ለራስና ለሚወለደው ልጅ ጤንነት ወሳኝ ነው።

👉 የቅድመ እርግዝና ክትትል ምን ምን ያካትታል?  

👉ቅድመ እርግዝና ክትትል አላማውና ጥቅሙ ምንድነው?

🔸ስለ ቅድመ እርግዝና ክትትል ዝርዝር መረጃዎች ለማግኘት እዚህ ይጫኑ 

🔸 ለበለጠ መረጃ 
https://yetenaweg.com/"
1149,2024-08-19T16:25:15+00:00,ህክምናው እና መከላከያ መንገዶቹ ምን ይመስላሉ ?
1148,2024-08-19T16:24:22+00:00,"የዝንጀሮ ፈንጣጣ እንዴት ከአንድ ሰው ወደ ሌላ ይተላለፋል ? 
ይህን ማወቅ ራስን ከበሽታ ለመከላከል ይረዳል"
1147,2024-08-19T16:22:35+00:00,በዝንጀሮ ፈንጣጣ ድንገት ቢያዙ፣ በሽታው ምን ያህል አስጊ ነው?
1145,2024-08-19T16:19:25+00:00,የዝንጀሮ ፈንጣጣ ምልክቶችን ያውቃሉ?
